alt,ve,vi
0.055913814,0.000153099,407.8646678
0.055913815,8.90E-05,407.864615
0.055913814,9.03E-05,407.8645575
0.055913815,7.88E-05,407.8646103
0.055913815,0.000152529,407.8645561
0.055913814,0.000160424,407.8646755
0.055913815,0.000119055,407.8646708
0.055913815,8.92E-05,407.8646012
0.055913815,7.73E-05,407.8646143
0.055913814,0.000162044,407.8646634
0.055913815,0.000124825,407.864612
0.055913815,0.000226942,407.864618
0.055913814,0.000264515,407.8646715
0.055913814,0.000269545,407.8646476
0.055913815,0.000161321,407.8645342
0.055913814,9.79E-05,407.8645178
0.055913814,0.00022951,407.864665
0.055913815,0.00020756,407.864568
0.055913815,0.000149915,407.8645844
0.055913814,0.00028181,407.8645543
0.055913815,6.85E-05,407.8645664
0.055913814,0.000257907,407.8646047
0.055913815,0.000109558,407.8645626
0.055913816,0.000121473,407.8646459
0.055913814,0.000360377,407.8645052
0.055913815,0.000227604,407.8645877
0.055913814,9.12E-05,407.8646027
0.055913815,0.000128016,407.8645468
0.055913814,0.000263331,407.8645299
0.055913814,0.000104059,407.8645765
0.055913815,9.29E-05,407.8646194
0.055913814,6.50E-05,407.8646493
0.055913814,0.000264145,407.8645417
0.055913814,0.00019499,407.8645173
0.055913814,0.000167963,407.8644606
0.055913815,0.000475093,407.8646479
0.055913814,0.000171808,407.8644676
0.055954597,0.588124386,407.8658252
0.05632311,1.972939561,407.8708701
0.057066637,3.355675503,407.8826831
0.058186573,4.753514815,407.9013577
0.059698157,6.160403639,407.9252115
0.061601937,7.574788434,407.9549032
0.063899337,8.989407315,407.9891514
0.066590277,10.40176946,408.0246353
0.069675296,11.81918538,408.0634864
0.0731561,13.24612676,408.1037853
0.077035057,14.67946486,408.1475553
0.081314949,16.12754419,408.1966073
0.086000655,17.59404123,408.2522681
0.09109567,19.07386061,408.3155095
0.096603431,20.55729495,408.3842201
0.102525438,22.04696882,408.4603253
0.108864222,23.54987413,408.5436111
0.115622664,25.059015,408.6377004
0.122805079,26.59551764,408.7387336
0.130417895,28.14645777,408.8453195
0.138467147,29.7266144,408.9588756
0.146960525,31.33285992,409.0802718
0.155904711,32.96114863,409.2082611
0.165306868,34.61593109,409.341878
0.175177758,36.31578492,409.4848358
0.185518205,38.03042962,409.5289066
0.196308341,39.77088209,409.6946013
0.207571811,41.50979452,409.9545564
0.219330297,43.25014966,410.2208723
0.231591741,44.98787279,410.4809578
0.244355903,46.74194457,410.7209056
0.257621407,48.49011905,410.9468969
0.271385679,50.25476866,411.164261
0.285650581,52.04539942,411.3598505
0.300421019,53.8538684,411.5335481
0.315698827,55.67650038,411.7481711
0.331490947,57.52112388,411.972298
0.347802013,59.38162634,412.2199678
0.364638134,61.26719605,412.5198673
0.382002721,63.14820287,412.8369503
0.399896948,65.04549984,413.168873
0.41832148,66.93943963,413.5241812
0.437279064,68.85415977,413.9245961
0.45677366,70.7716694,414.3048657
0.476806228,72.70253838,414.6643581
0.497380832,74.6543379,415.0187051
0.518501619,76.61216818,415.3903452
0.540170271,78.57917593,415.7799705
0.562389614,80.56287988,416.2007231
0.585165923,82.55591932,416.6636892
0.608499911,84.54679476,417.1588248
0.632392694,86.54822883,417.6774688
0.65684287,88.54585283,418.229616
0.681853345,90.54777142,418.8067163
0.707424992,92.5666668,419.3863037
0.73355991,94.59607216,419.9886364
0.76026463,96.64101875,420.6090366
0.78754056,98.68632848,421.2555008
0.815391198,100.7525191,421.930264
0.843817982,102.8214887,422.6323606
0.872822386,104.8933367,423.3676941
0.902406045,106.9784392,424.1379179
0.93257474,109.0828295,424.9679807
0.963339003,111.2109095,425.8246777
0.994696827,113.3513116,426.6794842
1.026648905,115.5041325,427.5583458
1.059198902,117.6667318,428.47139
1.092350311,119.8427022,429.4308769
1.126108466,122.03003,430.4463893
1.160477465,124.2359395,431.4947387
1.195461769,126.4459461,432.5753795
1.231062842,128.670817,433.7033299
1.267285918,130.8970349,434.9047252
1.304134707,133.1409266,436.1314615
1.341605943,135.397261,437.3563117
1.379696682,137.6666966,438.6228193
1.418413124,139.9557717,439.9462652
1.457759187,142.2579327,441.3273061
1.497735225,144.5475614,442.7539042
1.538338442,146.8348205,444.2176368
1.579567829,149.1237774,445.7180325
1.621420241,151.4063299,447.2473355
1.66389355,153.6732822,448.8346187
1.706984867,155.9198392,450.4295719
1.750681099,158.1467285,452.0057196
1.79497333,160.3583525,453.60006
1.839854907,162.544151,455.2287706
1.885319959,164.7125409,456.8902574
1.931363628,166.8758995,458.5855149
1.977982467,169.0294682,460.3106744
2.025172358,171.1763961,462.0695837
2.072932966,173.3348617,463.8704823
2.121263264,175.4853098,465.7148277
2.170160651,177.6258301,467.5627351
2.219616968,179.7574146,469.3856733
2.269625313,181.8911729,471.2147394
2.320186716,184.0377952,473.0806743
2.371302548,186.1954246,474.992897
2.422974236,188.3413013,476.929018
2.475199618,190.5092148,478.8979637
2.527978731,192.6641691,480.8790815
2.581309239,194.8128239,482.8785056
2.635180651,196.9582147,484.8483225
2.689591885,199.1010271,486.8503413
2.744541151,201.2424423,488.8658756
2.800026273,203.3854883,490.8972248
2.856046339,205.5343746,492.9597093
2.912599775,207.6856777,495.0370808
2.969688827,209.8544644,497.1342621
3.027311736,212.01575,499.2304652
3.085465145,214.1825496,501.3364706
3.144147261,216.344654,503.4555947
3.203356048,218.5053298,505.5833139
3.263089024,220.6693263,507.7354196
3.323349115,222.8435022,509.8986698
3.384132651,225.012169,512.0424806
3.445437143,227.1843349,514.1849486
3.507260105,229.3553474,516.3347277
3.569599139,231.5153629,518.4867271
3.632450616,233.670154,520.6462904
3.695812803,235.8277525,522.812274
3.759685963,237.995696,524.9890178
3.824068997,240.1642562,527.1737352
3.888963525,242.3511748,529.3902254
3.954372539,244.5407389,531.6091648
4.020292076,246.7274898,533.8177378
4.08672106,248.9098081,536.002876
4.153656278,251.0992569,538.18805
4.2210974,253.286099,540.3916678
4.289043325,255.4742331,542.6091985
4.357493199,257.6618978,544.8375125
4.426445626,259.8585948,547.0818298
4.495901699,262.0628822,549.3342254
4.565859659,264.2547263,551.5763136
4.636316254,266.4567591,553.8380794
4.707274355,268.6625602,556.0970115
4.778731173,270.8752342,558.3491223
4.85068635,273.084931,560.6052473
4.923137442,275.2939138,562.8745247
4.996084375,277.5078139,565.1546426
5.069525512,279.7161984,567.4339057
5.143454843,281.9023753,569.6977973
5.21786712,284.0768642,571.9538671
5.292754945,286.2248213,574.1997693
5.368109481,288.3475673,576.4343607
5.443924914,290.4557693,578.6708754
5.520195086,292.5485876,580.8934908
5.596916295,294.6369983,583.0939664
5.674078818,296.6474699,585.2491031
5.751641574,298.5080387,587.3503555
5.829575059,300.3030253,589.4591202
5.907866831,302.0540853,591.5069034
5.986507279,303.7854191,593.4719397
6.065492013,305.4993224,595.378336
6.144817046,307.1939646,597.2507464
6.2244809,308.8815861,599.1270712
6.304482179,310.5545708,600.9996056
6.384817708,312.2265791,602.8664339
6.465487214,313.895614,604.7276259
6.546488405,315.5580813,606.5823065
6.627821172,317.2250035,608.438955
6.70948673,318.8924961,610.2838797
6.791483422,320.5560403,612.1211612
6.873809163,322.2035857,613.9436435
6.956462469,323.8593484,615.7682161
7.039442298,325.5022102,617.5911403
7.122746057,327.149573,619.4202779
7.206376461,328.8063029,621.2543379
7.290332805,330.4560111,623.0658998
7.374614978,332.1108232,624.8738985
7.459221146,333.7466013,626.6718877
7.544146623,335.3674592,628.4550053
7.629385312,336.9706389,630.2284376
7.714934191,338.5622294,631.9958051
7.8007867,340.1329927,633.747452
7.886940108,341.7073825,635.5010606
7.973394273,343.2762636,637.2546476
8.060149652,344.8623406,639.0219376
8.147209289,346.4610622,640.7850105
8.234575246,348.0720881,642.5538269
8.322249793,349.6816937,644.3316232
8.410232773,351.2942322,646.1139096
8.49852229,352.9126709,647.898365
8.587119774,354.5320473,649.6826075
8.676025095,356.1575612,651.4746815
8.765240991,357.8051613,653.2828845
8.854771709,359.4726412,655.1122364
8.944622666,361.1642878,656.9601269
9.034799561,362.8762788,658.8205644
9.125303219,364.591079,660.6769901
9.216135998,366.3168487,662.5456132
9.307298651,368.0441395,664.4148881
9.398792807,369.7975485,666.3114516
9.490622381,371.555563,668.2184626
9.582788599,373.3399141,670.1465972
9.675298305,375.1510305,672.09277
9.768155336,376.9720137,674.0463776
9.861362978,378.8248025,676.0373094
9.954927101,380.6986603,678.0496215
10.04885214,382.5946568,680.0730662
10.14314145,384.5071476,682.1073722
10.2378002,386.4404862,684.1607426
10.33283054,388.3858066,686.226071
10.42823649,390.3524529,688.3169036
10.52401936,392.3301731,690.4155516
10.62018327,394.3355258,692.5371896
10.71673234,396.3603119,694.6893206
10.81366944,398.4072142,696.8695212
10.91100058,400.4786706,699.0631807
11.00872872,402.5747009,701.2676162
11.10686033,404.6909708,703.495919
11.20539866,406.8308199,705.7533367
11.30434715,408.988704,708.025273
11.40370881,411.1722835,710.3254344
11.50348767,413.3718212,712.6463473
11.60368647,415.5868038,714.9814713
11.70430676,417.8272745,717.3398789
11.80535422,420.0953644,719.7224622
11.90683432,422.3936902,722.147867
12.00875118,424.7179787,724.6009475
12.11111673,427.1508861,727.1261135
12.21397835,429.7470633,729.7483577
12.31736654,432.4146312,732.4110081
12.4212913,435.1210879,735.1495268
12.52575176,437.8574443,737.968064
12.63074634,440.6244881,740.844013
12.7362744,443.4174052,743.7549171
12.84233952,446.2538177,746.7172472
12.94894638,449.1213024,749.7047415
13.05610056,452.018572,752.7118102
13.16380612,454.9349741,755.7437408
13.27206552,457.8864056,758.8169975
13.38088154,460.8549958,761.9138432
13.49025601,463.8474393,765.0397682
13.60018867,466.8470389,768.1779063
13.71068175,469.8830848,771.3531721
13.82173855,472.9393664,774.5556137
13.93336387,476.0406971,777.8085487
14.04555863,479.1620807,781.0909689
14.15833038,482.3226719,784.4017592
14.27168486,485.5044863,787.7243104
14.38562414,488.7069086,791.0728686
14.5001526,491.947863,794.465956
14.61527367,495.2117065,797.8859628
14.73098935,498.5009113,801.3404747
14.8473015,501.8098893,804.8158717
14.96421409,505.1552429,808.3218101
15.08173286,508.5371433,811.8651031
15.19986223,511.947605,815.4489955
15.31860365,515.3707748,819.0425632
15.43796038,518.8241535,822.6572892
15.55793706,522.2938427,826.2923342
15.67853308,525.7839079,829.9539624
15.79975147,529.2986668,833.6425163
15.92159219,532.8321193,837.3544784
16.04405997,536.4051084,841.1050482
16.16715885,539.9992855,844.8799449
16.29089056,543.6239837,848.6891293
16.41525922,547.2855133,852.5369798
16.54026619,550.9547109,856.4030905
16.66591228,554.6587822,860.298108
16.79220342,558.3819437,864.2045187
16.91914345,562.1318791,868.1367828
17.04673437,565.9142932,872.1094895
17.17497872,569.7169358,876.1098047
17.3038769,573.5517544,880.1448091
17.43343327,577.4102286,884.2021015
17.56364962,581.2871284,888.2786454
17.6945272,585.1888068,892.3811513
17.8260669,589.1137983,896.5190799
17.95826787,593.0572068,900.6770393
18.09113314,597.0258112,904.8492585
18.22466856,601.0157639,909.0434405
18.35887647,605.0402222,913.2769711
18.49375532,609.0684007,917.519649
18.62930637,613.1241026,921.7929994
18.76552792,617.1964316,926.0841255
18.90242129,621.2804291,930.3969354
19.03998509,625.3976911,934.7430136
19.17822377,629.5269505,939.0906359
19.31713958,633.668291,943.4496215
19.45673195,637.8258689,947.8305121
19.59699855,641.9828354,952.2170221
19.73793418,646.1482598,956.6171485
19.8795352,650.325,961.0394575
20.02179883,654.5121142,965.4705973
20.16472919,658.7239561,969.9168938
20.30833018,662.9576154,974.3862812
20.4526002,667.1935752,978.8629399
20.59753631,671.4435307,983.3581758
20.74313529,675.6928321,987.8579823
20.88938984,679.9388845,992.3625516
21.03629848,684.193706,996.8691006
21.18386596,688.479414,1001.398007
21.33209619,692.7867938,1005.95379
21.48098702,697.1009666,1010.521656
21.63053127,701.3939473,1015.072255
21.78072207,705.680358,1019.621419
21.93155445,709.968066,1024.172916
22.08302293,714.246428,1028.723326
22.23512334,718.5476491,1033.293174
22.38785913,722.8555044,1037.867007
22.54122985,727.1746172,1042.451814
22.69523394,731.5003231,1047.044043
22.84986838,735.8342549,1051.649902
23.00513107,740.188686,1056.277739
23.16102048,744.5453377,1060.914287
23.31753238,748.9086052,1065.555008
23.47466605,753.2688733,1070.187324
23.63241976,757.6234546,1074.814178
23.79079038,761.970946,1079.437185
23.94977032,766.3203464,1084.06453
24.10935781,770.6722921,1088.69698
24.26954402,775.005345,1093.318855
24.43032254,779.3349455,1097.935282
