Time     Altitude  Dwnrg Dst    Stage     Mass           TWR      AZ(cmd)     HOR AOA      Pitch   Vert AOA       Orbvel		   Incl       Ecctr
0.4       0.0916     0      1    1986374.8779    1.7962    322.9592    0    84.6428    0       407.4816      28.7326    0.9973
0.82       0.093     0      1    1981380.127    1.8007    13.3986    0    81.003    0       407.5379      28.7327    0.9973
1.28       0.0957     0      1    1976147.583    1.8055    10.3813    0    81.7155    0       407.5891      28.7329    0.9973
1.72       0.0993     0      1    1970676.8799    1.8105    8.3127    0    82.3013    0       407.6756      28.7331    0.9973
2.16       0.1039     0      1    1965440.5518    1.8153    7.8788    0    82.2513    0       407.7672      28.7333    0.9973
2.6       0.1096     0      1    1960225.3418    1.8202    7.6042    0    82.6139    0       407.8585      28.7335    0.9973
3.04       0.1164     0      1    1955022.4609    1.825    7.4123    0    83.2553    0       407.9644      28.7336    0.9973
3.48       0.1242     0      1    1949806.5186    1.8299    7.319    0    83.7963    0       408.0849      28.7338    0.9973
3.92       0.1332     0      1    1944581.7871    1.8348    7.184    0    84.2023    0       408.218      28.734    0.9973
4.5       0.1467     0      1    1937912.2314    1.8411    6.8625    0    84.5953    0       408.3608      28.734    0.9973
4.96       0.1589     0      1    1932410.0342    1.8464    5.5784    0    85.2018    0       408.595      28.7344    0.9973
5.42       0.1724     0      1    1926881.2256    1.8517    6.4605    0    85.1348    0       408.8817      28.7351    0.9973
5.88       0.187     0      1    1921337.7686    1.857    7.2728    0    84.7401    0       409.1904      28.7359    0.9973
6.34       0.2029     0      1    1915781.0059    1.8624    7.8247    0    84.3853    0       409.5213      28.7369    0.9973
6.78       0.2193     0      1    1910181.7627    1.8678    8.2346    0    84.1267    0       409.5416      28.7381    0.9973
7.22       0.2368     0      1    1904803.1006    1.8731    3.7302    0    83.839    0       410.1905      28.7391    0.9973
7.66       0.2556     0      1    1899413.3301    1.8784    8.9555    0    83.7137    0       411.4027      28.7396    0.9973
8.1       0.2756     0      1    1894026.001    1.8838    19.0503    0    83.5929    0       412.2106      28.7402    0.9973
8.54       0.297     0      1    1888621.8262    1.8892    23.0654    0    83.5514    0       412.4968      28.7409    0.9973
8.98       0.3197     0      1    1883205.4443    1.8946    21.3786    0    83.7358    0       412.393      28.7415    0.9973
9.42       0.3436     0      1    1877784.9121    1.9001    15.9771    0    84.0717    0       412.1615      28.742    0.9973
9.84       0.3677     0      1    1872337.6465    1.9056    9.2727    0    84.409    0       412.0614      28.7424    0.9973
10.28       0.3942     0      1    1866890.7471    1.9112    3.7846    0    84.6432    0       412.1993      28.743    0.9973
10.72       0.422     0      1    1861441.1621    1.9168    0.7192    0    84.7618    0       412.5667      28.744    0.9973
11.16       0.4512     0      1    1855980.835    1.9224    359.7176    0    84.7872    0       413.0561      28.7452    0.9973
11.6       0.4818     0      1    1850540.0391    1.928    359.6576    0    84.7524    0       413.6715      28.7471    0.9973
12.04       0.5138     0      1    1845115.9668    1.9337    0.3662    0    84.6146    0       413.9486      28.7473    0.9973
12.88       0.5786     0      1    1836924.9268    1.9423    355.5563    0    85.0228    0       414.0517      28.7449    0.9974
13.48       0.6281     0      1    1829467.6514    1.9503    348.0357    0    85.5547    0       414.4427      28.7446    0.9974
14.1       0.6819     0      1    1821771.9727    1.9585    343.5109    0    85.7496    0       415.342      28.7462    0.9974
14.7       0.7367     0      1    1814316.04    1.9665    343.9747    0    85.711    0       416.5669      28.7484    0.9974
15.32       0.7962     0      1    1806590.0879    1.975    346.9079    0    85.6582    0       417.9616      28.7496    0.9974
15.92       0.8566     0      1    1799134.2773    1.9831    349.5445    0    85.7614    0       419.3509      28.7489    0.9974
16.52       0.9198     0      1    1791668.5791    1.9914    351.5046    0    86.0637    0       420.8467      28.747    0.9974
17.12       0.9858     0      1    1784225.4639    1.9997    353.8629    0    86.4916    0       422.569      28.7448    0.9973
17.72       1.0546     0      1    1776769.043    2.0081    358.2153    0    86.9315    0       424.5941      28.7429    0.9973
18.32       1.1263     0      1    1769288.8184    2.0166    5.9898    0    87.2979    0       426.9057      28.7412    0.9973
18.92       1.2009     0      1    1761821.0449    2.0251    17.6267    0    87.5457    0       429.4534      28.7394    0.9973
19.52       1.2784     0      1    1754350.0977    2.0338    32.3952    0    87.6556    0       432.198      28.7375    0.9973
20.12       1.3589     0      1    1746881.1035    2.0425    48.728    0    87.6105    0       435.1311      28.7357    0.9973
20.72       1.4423     0      1    1739394.6533    2.0512    64.4478    0    87.3867    0       438.2918      28.7342    0.9973
21.32       1.5286     0      1    1731878.9062    2.0601    77.5574    0    86.9811    0       441.669      28.7335    0.9972
21.92       1.618     0      1    1724378.7842    2.0691    87.2979    0    86.4253    0       445.2805      28.7336    0.9972
22.52       1.7103     0      1    1716876.5869    2.0781    94.2003    0    85.762    0       449.1206      28.7347    0.9972
23.12       1.8056     0      1    1709376.4648    2.0873    99.1253    0    85.0262    0       453.1551      28.7371    0.9971
23.72       1.9039     0      1    1701905.0293    2.0964    102.7732    0    84.2434    0       457.3571      28.7409    0.9971
24.32       2.0051     0      1    1694479.3701    2.1056    105.5811    0    83.43    0       461.6568      28.7463    0.9971
24.92       2.1091     0      1    1687181.7627    2.1147    107.7797    0    82.5973    0       466.0357      28.7534    0.997
25.52       2.2158     0      1    1679992.6758    2.1238    109.5268    0    81.7511    0       470.5536      28.7625    0.997
26.1       2.3252     0      1    1672859.6191    2.1328    110.9434    0    80.8888    0       475.193      28.7736    0.9969
26.72       2.4373     0      1    1665780.0293    2.1419    112.0868    0    80.0149    0       480.0094      28.7869    0.9969
27.32       2.5519     0      1    1658711.3037    2.151    113.0304    0    79.1269    0       484.9105      28.8025    0.9968
27.92       2.6691     0      1    1651746.46    2.1601    113.82    0    78.2309    0       489.9248      28.8206    0.9968
28.54       2.7928     0      1    1644817.1387    2.1692    114.4961    0    77.3273    0       495.4113      28.8427    0.9967
29.2       2.9274     0      1    1637236.4502    2.1792    115.1185    0    76.356    0       501.11      28.8684    0.9967
29.84       3.0607     0      1    1629908.0811    2.189    115.6636    0    75.3535    0       506.7941      28.8959    0.9966
30.48       3.1969     0      1    1622636.7188    2.1988    116.1124    0    74.4136    0       512.4292      28.9245    0.9965
31.12       3.3359     0      1    1615375.1221    2.2087    116.481    0    73.5605    0       518.0421      28.9543    0.9965
31.74       3.4732     0      1    1608177.8564    2.2186    116.7936    0    72.7655    0       523.597      28.9852    0.9964
32.38       3.6178     0      1    1601059.6924    2.2285    117.0634    0    72.0197    0       529.1806      29.0173    0.9964
33.02       3.7652     0      1    1593933.5938    2.2384    117.3008    0    71.3228    0       534.7544      29.0502    0.9963
33.66       3.9155     0      1    1586857.0557    2.2484    117.5096    0    70.6756    0       540.2507      29.0836    0.9962
34.3       4.0687     0      1    1579858.8867    2.2584    117.693    0    70.076    0       545.7334      29.1175    0.9962
34.94       4.2248     0      1    1572890.9912    2.2684    117.8561    0    69.5191    0       551.2032      29.1518    0.9961
35.58       4.3838     0      1    1565964.7217    2.2784    118.0023    0    69.0014    0       556.5971      29.1863    0.9961
36.22       4.5457     0      1    1559127.4414    2.2884    118.1339    0    68.5197    0       561.9769      29.2212    0.996
36.86       4.7105     0      1    1552299.0723    2.2985    118.2541    0    68.0711    0       567.3434      29.2563    0.9959
37.5       4.8782     0      1    1545498.0469    2.3086    118.3646    0    67.6514    0       572.6459      29.2915    0.9959
38.06       5.0327     0      1    1538952.8809    2.3184    118.4661    0    67.2564    0       577.2204      29.3222    0.9958
38.62       5.1786     0      1    1533070.1904    2.3273    118.548    0    66.9351    0       581.6072      29.3521    0.9958
39.16       5.3264     0      1    1527423.4619    2.3359    118.6243    0    66.6311    0       586.0129      29.383    0.9957
39.7       5.4763     0      1    1521797.8516    2.3445    118.6975    0    66.3202    0       590.4148      29.4145    0.9957
40.24       5.628     0      1    1516203.4912    2.3532    118.7675    0    66.0062    0       594.8231      29.4466    0.9956
40.78       5.7816     0      1    1510616.6992    2.3619    118.8346    0    65.6935    0       599.224      29.4792    0.9956
41.32       5.9371     0      1    1505063.4766    2.3706    118.8988    0    65.3821    0       603.6255      29.5124    0.9955
41.86       6.0943     0      1    1499531.25    2.3794    118.9604    0    65.0707    0       608.0596      29.5463    0.9955
42.4       6.2534     0      1    1494021.8506    2.3881    119.0193    0    64.7587    0       612.4899      29.5808    0.9954
42.94       6.4142     0      1    1488563.1104    2.3969    119.0763    0    64.4446    0       616.9484      29.6161    0.9953
43.48       6.5768     0      1    1483124.0234    2.4057    119.1306    0    64.1289    0       621.4735      29.6521    0.9953
44.02       6.7411     0      1    1477685.791    2.4145    119.1826    0    63.8134    0       626.0177      29.6888    0.9952
44.56       6.9072     0      1    1472290.5273    2.4234    119.2321    0    63.4975    0       630.552      29.726    0.9952
45.1       7.075     0      1    1466943.1152    2.4322    119.281    0    63.18    0       635.1359      29.764    0.9951
45.64       7.2445     0      1    1461606.5674    2.4411    119.3277    0    62.8612    0       639.7658      29.8027    0.995
46.18       7.4156     0      1    1456287.2314    2.45    119.3722    0    62.5413    0       644.443      29.8422    0.995
46.72       7.5885     0      1    1450981.3232    2.459    119.4155    0    62.2208    0       649.1594      29.8824    0.9949
47.26       7.763     0      1    1445695.6787    2.468    119.4573    0    61.8996    0       653.9424      29.9234    0.9949
47.8       7.9392     0      1    1440406.1279    2.477    119.4976    0    61.5783    0       658.7862      29.9652    0.9948
48.34       8.1171     0      1    1435129.3945    2.4861    119.5364    0    61.2572    0       663.659      30.0075    0.9947
48.88       8.2967     0      1    1429874.5117    2.4953    119.5738    0    60.9361    0       668.5873      30.0505    0.9946
49.42       8.4779     0      1    1424634.2773    2.5045    119.6098    0    60.6151    0       673.5072      30.0939    0.9946
49.96       8.6608     0      1    1419448.7305    2.5136    119.6445    0    60.294    0       678.4422      30.1377    0.9945
50.5       8.8453     0      1    1414293.7012    2.5228    119.678    0    59.9729    0       683.4103      30.182    0.9944
51.04       9.0314     0      1    1409163.4521    2.5319    119.7102    0    59.6518    0       688.4092      30.2269    0.9943
51.58       9.2191     0      1    1404064.209    2.5411    119.7412    0    59.3302    0       693.4312      30.2723    0.9943
52.12       9.4084     0      1    1398988.7695    2.5504    119.7716    0    59.0074    0       698.5155      30.3184    0.9942
52.66       9.5992     0      1    1393925.0488    2.5596    119.8009    0    58.6841    0       703.632      30.3649    0.9941
53.2       9.7916     0      1    1388879.3945    2.5689    119.8292    0    58.3609    0       708.8092      30.4121    0.994
53.74       9.9856     0      1    1383843.6279    2.5783    119.8565    0    58.0379    0       714.0353      30.4598    0.9939
54.28       10.1811     0      1    1378814.209    2.5877    119.8829    0    57.7147    0       719.3507      30.5083    0.9938
54.82       10.3782     0      1    1373774.9023    2.5972    119.9084    0    57.3918    0       724.7344      30.5574    0.9938
55.36       10.577     0      1    1368735.4736    2.6067    119.9332    0    57.0697    0       730.1867      30.6071    0.9937
55.9       10.7773     0      1    1363696.7773    2.6164    119.9573    0    56.7486    0       735.7013      30.6574    0.9936
56.44       10.9792     0      1    1358656.4941    2.6261    119.9806    0    56.4282    0       741.3374      30.7085    0.9935
56.98       11.1828     0      1    1353584.8389    2.6359    120.0033    0    56.1089    0       747.0596      30.7602    0.9934
57.52       11.3881     0      1    1348502.1973    2.6458    120.0253    0    55.7909    0       752.8955      30.8128    0.9933
58.06       11.595     0      1    1343394.7754    2.6559    120.0468    0    55.4748    0       758.8076      30.8658    0.9932
58.6       11.8037     0      1    1338279.2969    2.6661    120.0675    0    55.1606    0       764.8355      30.9195    0.9931
59.14       12.0141     0      1    1333138.916    2.6763    120.0877    0    54.8488    0       770.9298      30.9737    0.9929
59.68       12.2263     0      1    1328000.8545    2.6867    120.1073    0    54.5392    0       777.1056      31.0283    0.9928
60.22       12.4402     0      1    1322854.0039    2.6971    120.1263    0    54.2316    0       783.3672      31.0835    0.9927
60.76       12.656     0      1    1317697.6318    2.7077    120.1447    0    53.9261    0       789.729      31.1391    0.9926
61.3       12.8735     0      1    1312525.2686    2.7184    120.1627    0    53.6229    0       796.1554      31.1951    0.9925
61.84       13.0929     0      1    1307356.8115    2.7291    120.18    0    53.3219    0       802.6933      31.2516    0.9924
62.38       13.3141     0      1    1302160.2783    2.74    120.197    0    53.023    0       809.3162      31.3086    0.9922
62.92       13.5372     0      1    1296962.7686    2.751    120.2134    0    52.7261    0       816.0219      31.3659    0.9921
63.46       13.7621     0      1    1291752.3193    2.7621    120.2294    0    52.4319    0       822.8264      31.4236    0.992
64       13.989     0      1    1286529.541    2.7733    120.2449    0    52.1405    0       829.7128      31.4816    0.9918
64.54       14.2178     0      1    1281300.7812    2.7846    120.2601    0    51.8517    0       836.6733      31.5398    0.9917
65.08       14.4485     0      1    1276072.7539    2.796    120.2747    0    51.565    0       843.7203      31.5983    0.9916
65.62       14.6811     0      1    1270829.7119    2.8076    120.2891    0    51.2806    0       850.8977      31.6574    0.9914
66.16       14.9158     0      1    1265560.791    2.8192    120.303    0    50.9989    0       858.1437      31.7166    0.9913
66.7       15.1524     0      1    1260294.7998    2.831    120.3165    0    50.7196    0       865.4543      31.7758    0.9911
67.24       15.391     0      1    1255031.3721    2.8429    120.3297    0    50.4426    0       872.8728      31.8354    0.991
67.78       15.6317     0      1    1249744.751    2.8549    120.3426    0    50.1681    0       880.3778      31.8952    0.9908
68.32       15.8744     0      1    1244457.2754    2.8671    120.3551    0    49.8963    0       887.9729      31.9551    0.9906
68.86       16.1192     0      1    1239155.6396    2.8793    120.3673    0    49.627    0       895.6481      32.0152    0.9905
69.4       16.366     0      1    1233854.3701    2.8917    120.3792    0    49.3601    0       903.4483      32.0756    0.9903
69.94       16.615     0      1    1228519.2871    2.9042    120.3908    0    49.0957    0       911.3842      32.1363    0.9901
70.48       16.866     0      1    1223165.2832    2.917    120.4022    0    48.8338    0       919.3769      32.197    0.99
71.02       17.1193     0      1    1217816.4062    2.9298    120.4132    0    48.5744    0       927.4799      32.2578    0.9898
71.56       17.3747     0      1    1212453.7354    2.9427    120.424    0    48.3179    0       935.6392      32.3185    0.9896
72.1       17.6323     0      1    1207099.8535    2.9558    120.4345    0    48.0642    0       943.917      32.3793    0.9894
72.64       17.892     0      1    1201724.3652    2.969    120.4447    0    47.8131    0       952.3134      32.4403    0.9892
73.18       18.1541     0      1    1196332.6416    2.9824    120.4547    0    47.5647    0       960.7775      32.5012    0.989
73.72       18.4183     0      1    1190954.5898    2.9959    120.4645    0    47.3189    0       969.299      32.5619    0.9888
74.26       18.6848     0      1    1185579.3457    3.0094    120.474    0    47.0755    0       977.9497      32.6227    0.9886
74.8       18.9536     0      1    1180185.6689    3.0232    120.4833    0    46.8345    0       986.6661      32.6833    0.9884
75.34       19.2246     0      1    1174801.0254    3.037    120.4924    0    46.596    0       995.5068      32.7441    0.9882
75.88       19.498     0      1    1169390.9912    3.0511    120.5012    0    46.3603    0       1004.4861      32.805    0.988
76.42       19.7737     0      1    1163966.1865    3.0653    120.5099    0    46.1272    0       1013.5046      32.8655    0.9878
76.96       20.0518     0      1    1158562.1338    3.0796    120.5184    0    45.8961    0       1022.6145      32.9259    0.9875
77.5       20.3322     0      1    1153150.5127    3.0941    120.5267    0    45.6676    0       1031.8128      32.9861    0.9873
78.04       20.615     0      1    1147743.6523    3.1086    120.5348    0    45.4418    0       1041.0884      33.0461    0.9871
78.58       20.9002     0      1    1142334.4727    3.1234    120.5428    0    45.2183    0       1050.4859      33.1061    0.9868
79.12       21.1878     0      1    1136916.5039    3.1382    120.5505    0    44.9974    0       1059.9549      33.1658    0.9866
79.66       21.4778     0      1    1131501.5869    3.1533    120.5581    0    44.7787    0       1069.5234      33.2254    0.9864
80.2       21.7703     0      1    1126088.8672    3.1684    120.5656    0    44.5625    0       1079.1541      33.2846    0.9861
80.74       22.0652     0      1    1120681.6406    3.1837    120.5729    0    44.3486    0       1088.8977      33.3436    0.9858
81.28       22.3626     0      1    1115273.8037    3.1991    120.58    0    44.1375    0       1098.6115      33.4019    0.9856
81.82       22.6624     0      1    1109924.6826    3.2146    120.587    0    43.9283    0       1108.3123      33.4595    0.9853
82.36       22.9646     0      1    1104609.1309    3.23    120.5939    0    43.7208    0       1118.1267      33.517    0.9851
82.9       23.2692     0      1    1099286.8652    3.2457    120.6007    0    43.5153    0       1127.9661      33.5739    0.9848
83.44       23.5763     0      1    1093997.6807    3.2614    120.6073    0    43.3115    0       1137.8765      33.6305    0.9845
83.98       23.8858     0      1    1088712.1582    3.2772    120.6138    0    43.1097    0       1147.8326      33.6867    0.9842
84.52       24.1977     0      1    1083458.6182    3.2931    120.6202    0    42.9095    0       1157.7533      33.7421    0.9839
85.06       24.5119     0      1    1078253.418    3.309    120.6265    0    42.7107    0       1167.7392      33.7972    0.9836
85.6       24.8286     0      1    1073054.9316    3.325    120.6326    0    42.5135    0       1177.7966      33.8519    0.9833
86.14       25.1476     0      1    1067868.8965    3.3412    120.6387    0    42.318    0       1187.8456      33.906    0.9831
86.68       25.469     0      1    1062733.8867    3.3573    120.6447    0    42.1242    0       1197.8686      33.9593    0.9828
87.22       25.7927     0      1    1057638.6719    3.3735    120.6507    0    41.9319    0       1207.9178      34.0121    0.9824
87.76       26.1187     0      1    1052576.5381    3.3897    120.6565    0    41.7409    0       1217.9736      34.0644    0.9821
88.3       26.447     0      1    1047540.8936    3.406    120.6623    0    41.5508    0       1228.1182      34.1164    0.9818
88.84       26.7777     0      1    1042509.1553    3.4224    120.668    0    41.362    0       1238.2802      34.1679    0.9815
89.38       27.1106     0      1    1037513.6719    3.4389    120.6736    0    41.1746    0       1248.3937      34.2186    0.9812
89.92       27.4457     0      1    1032576.9043    3.4554    120.6791    0    40.9891    0       1258.465      34.2685    0.9809
90.46       27.7831     0      1    1027685.791    3.4718    120.6846    0    40.8049    0       1268.607      34.3181    0.9805
91       28.1227     0      1    1022802.002    3.4884    120.69    0    40.6216    0       1278.7415      34.3672    0.9802
91.54       28.4644     0      1    1017970.3979    3.5049    120.6953    0    40.4393    0       1288.7835      34.4153    0.9799
92.08       28.8083     0      1    1013202.5757    3.5214    120.7006    0    40.2579    0       1298.863      34.463    0.9795
