Time    Altitude  Dwnrg Dst    Stag                Mass           TWR      Throt         AZ(cmd)     HAOA          Pitch     VAOA          Orbvel            Incl        Ecctr
0.62        0.1424        0        1        8007539.0625    1.2259       100    190.9576    -68.443    87.8897    2.085       462.6335      5.2394    0.9966
1.08        0.1441        0        1        7989412.5977    1.2284       100    193.33    -71.219    88.2789    1.7       462.6339      5.2394    0.9966
1.56        0.1462        0        1        7972767.5781    1.2303       100    196.4752    -4.968    88.5772    1.36       462.6638      5.2394    0.9966
2.04        0.1489        0        1        7955387.207    1.2332       100    350.7336    156.741    89.6387    -0.181       462.7188      5.2394    0.9966
2.52        0.1522        0        1        7937970.2148    1.2358       100    21.788    -175.898    89.203    -0.22       462.7187      5.2394    0.9966
3        0.1559        0        1        7920584.4727    1.2387       100    173.4348    -27.392    89.2941    -0.543       462.6641      5.2395    0.9966
3.48        0.1602        0        1        7903166.0156    1.2424       100    192.5998    -9.295    87.9564    0.757       462.5975      5.2397    0.9966
3.96        0.1651        0        1        7885781.7383    1.245       100    198.5171    -2.15    87.1172    1.634       462.5554      5.2399    0.9966
4.76        0.1747        0        1        7858899.9023    1.2518       100    200.5158    -5.216    86.4818    3.087       462.4385      5.2414    0.9966
5.34        0.1822        0        1        7837871.0938    1.2553       100    198.23    180.168    84.4177    4.797       462.4665      5.2408    0.9966
5.9        0.1904        0        1        7817568.8477    1.2577       100    201.7213    177.825    85.6933    3.001       462.6471      5.24    0.9966
6.46        0.1995        0        1        7797250.9766    1.2612       100    201.5317    177.195    87.4262    1.247       462.8485      5.2396    0.9966
7        0.2094        0        1        7776908.6914    1.2643       100    194.2252    172.971    88.5096    0.41       463.0017      5.2394    0.9966
7.54        0.2192        0        1        7757349.1211    1.2677       100    183.2097    165.86    89.4669    0.029       463.1032      5.2394    0.9966
8.08        0.2302        0        1        7737756.8359    1.2709       100    133.5957    -155.119    89.8687    0.039       463.1268      5.2394    0.9966
8.62        0.2419        0        1        7718226.5625    1.273       100    184.7691    -55.183    89.6978    0.11       463.103      5.2394    0.9966
9.16        0.2545        0        1        7698656.25    1.2764       100    204.0301    -39.99    89.3665    0.535       463.1249      5.2394    0.9966
9.7        0.2678        0        1        7679079.1016    1.2799       100    210.414    112.657    89.2842    0.703       463.208      5.2394    0.9966
10.24        0.2819        0        1        7659504.8828    1.2833       100    209.9941    118.721    89.3555    0.589       463.3236      5.2394    0.9966
10.78        0.2968        0        1        7639974.1211    1.2868       100    204.9997    98.858    89.4326    0.528       463.4349      5.2394    0.9966
11.32        0.3125        0        1        7620382.3242    1.2913       100    200.977    32.099    89.4662    0.523       463.5333      5.2394    0.9966
11.86        0.3291        0        1        7600770.9961    1.2952       100    200.8499    -56.428    89.4793    0.502       463.6304      5.2394    0.9966
12.4        0.3466        0        1        7581206.0547    1.2984       100    202.8278    -61.779    89.4917    0.488       463.7307      5.2394    0.9966
12.94        0.3649        0        1        7561672.3633    1.3026       100    204.6406    -44.186    89.5072    0.479       463.8444      5.2394    0.9966
13.48        0.384        0        1        7542077.1484    1.3057       100    205.374    -15.849    89.5228    0.466       463.9674      5.2394    0.9966
14.02        0.404        0        1        7522518.0664    1.3092       100    205.3822    -4.904    89.5358    0.454       464.0901      5.2394    0.9966
14.56        0.425        0        1        7502924.3164    1.3136       100    205.3748    -19.301    89.5472    0.443       464.2263      5.2394    0.9966
15.1        0.4468        0.01        1        7483360.8398    1.3182       100    205.4365    -44.729    89.5578    0.433       464.3773      5.2394    0.9966
15.64        0.4695        0.01        1        7463700.1953    1.3236       100    205.9083    -59.176    89.5692    0.422       464.5305      5.2394    0.9966
16.18        0.4931        0.01        1        7444105.4688    1.3271       100    206.5056    -61.276    89.5809    0.411       464.6904      5.2394    0.9966
16.72        0.5177        0.01        1        7424530.7617    1.3317       100    207.0364    -58.875    89.5918    0.401       464.8595      5.2394    0.9966
17.26        0.5433        0.01        1        7404959.4727    1.3347       100    207.5665    -56.925    89.6017    0.392       465.0353      5.2394    0.9966
17.8        0.5698        0.01        1        7385422.3633    1.3369       100    208.0861    -56.292    89.6107    0.384       465.2219      5.2395    0.9966
18.34        0.5972        0.01        1        7365837.8906    1.342       100    208.5652    -58.133    89.6193    0.376       465.4199      5.2395    0.9966
18.88        0.6257        0.01        1        7346214.3555    1.3462       100    209.0138    -61.331    89.6279    0.368       465.625      5.2395    0.9966
19.42        0.6551        0.01        1        7326667.9688    1.3501       100    209.4957    -62.175    89.6359    0.361       465.8388      5.2395    0.9966
19.96        0.6856        0.01        1        7307114.7461    1.3546       100    209.989    -59.539    89.6435    0.354       466.0638      5.2395    0.9966
20.5        0.717        0.01        1        7287559.082    1.3575       100    210.4609    -59.731    89.6506    0.347       466.2976      5.2395    0.9966
21.04        0.7495        0.01        1        7268015.1367    1.3613       100    210.9327    -57.134    89.6574    0.34       466.5373      5.2395    0.9966
21.6        0.7843        0.01        1        7248362.3047    1.3688       100    211.3923    -51.935    89.664    0.334       466.8168      5.2395    0.9966
22.26        0.8268        0.01        1        7228030.7617    1.3736       100    211.8968    145.65    89.6704    0.196       467.0069      5.2395    0.9966
22.92        0.8709        0.01        1        7204153.3203    1.3796       100    222.3711    156.087    89.5569    -0.401       467.2749      5.2396    0.9966
23.58        0.9166        0.01        1        7180244.1406    1.3842       100    225.762    159.493    89.5055    -1.36       467.8058      5.2395    0.9966
24.26        0.9653        0.01        1        7156350.5859    1.3884       100    216.8704    150.587    89.66    -2.59       468.564      5.2394    0.9966
24.96        1.0174        0.01        1        7130972.6562    1.3943       100    147.0408    80.752    89.8373    -3.435       469.8073      5.2394    0.9966
