Time     Altitude  Dwnrg Dst    Stage     Mass           TWR     Throt      AZ(cmd)     HOR AOA      Pitch   Vert AOA       Orbvel		   Incl       Ecctr
0.42       0.0914     0      1    1986358.5205    0       100    335.8825    0    82.8099    0       407.4874      28.7326    0.9973
0.84       0.0928     0      1    1981121.0938    0.7773       100    13.1851    0    80.7725    0       407.5417      28.7327    0.9973
1.3       0.0956     0      1    1975891.6016    0.7778       100    10.2612    0    81.6423    0       407.5931      28.7329    0.9973
1.74       0.0992     0      1    1970422.7295    0.9751       100    8.2683    0    82.2485    0       407.6808      28.7331    0.9973
2.18       0.1039     0      1    1965199.707    1.1332       100    7.888    0    82.2041    0       407.7734      28.7334    0.9973
2.62       0.1096     0      1    1959984.375    1.4808       100    7.6388    0    82.5655    0       407.867      28.7335    0.9973
3.06       0.1164     0      1    1954746.3379    1.5551       100    7.4551    0    83.2262    0       407.9751      28.7337    0.9973
3.5       0.1244     0      1    1949516.4795    1.5726       100    7.3646    0    83.7762    0       408.0963      28.7338    0.9973
3.94       0.1334     0.01      1    1944296.9971    1.5804       100    7.2338    0    84.1821    0       408.2309      28.734    0.9973
4.52       0.147     0.01      1    1937620.3613    1.5894       100    6.9173    0    84.5784    0       408.3749      28.734    0.9973
4.98       0.1593     0.01      1    1932128.7842    1.5964       100    5.6561    0    85.1825    0       408.6094      28.7344    0.9973
5.44       0.1728     0.01      1    1926605.3467    1.6058       100    6.5252    0    85.1176    0       408.8978      28.7351    0.9973
5.9       0.1875     0.01      1    1921050.0488    1.6159       100    7.3223    0    84.7277    0       409.2111      28.736    0.9973
6.36       0.2035     0.01      1    1915467.041    1.6273       100    7.867    0    84.378    0       409.5427      28.7369    0.9973
6.8       0.2199     0.01      1    1909882.6904    1.6385       100    8.268    0    84.1212    0       409.5619      28.7382    0.9973
7.24       0.2375     0.02      1    1904522.3389    1.649       100    3.7932    0    83.8338    0       410.2086      28.7392    0.9973
7.68       0.2564     0.02      1    1899130.8594    1.6592       100    8.953    0    83.7104    0       411.4245      28.7397    0.9973
8.12       0.2765     0.02      1    1893740.9668    1.6678       100    19.0342    0    83.5908    0       412.2356      28.7403    0.9973
8.56       0.2979     0.02      1    1888342.1631    1.6777       100    23.0649    0    83.5487    0       412.5226      28.741    0.9973
9       0.3207     0.02      1    1882907.3486    1.6883       100    21.3623    0    83.736    0       412.4244      28.7416    0.9973
9.44       0.3447     0.03      1    1877464.8438    1.697       100    15.9723    0    84.0739    0       412.1987      28.7421    0.9973
9.86       0.3689     0.03      1    1872039.5508    1.7051       100    9.3589    0    84.4065    0       412.0924      28.7425    0.9973
10.3       0.3954     0.03      1    1866607.2998    1.713       100    3.8475    0    84.6428    0       412.2246      28.7431    0.9973
10.74       0.4233     0.03      1    1861162.4756    1.7186       100    0.7306    0    84.764    0       412.5886      28.744    0.9973
11.18       0.4526     0.04      1    1855729.3701    1.7239       100    359.7371    0    84.7881    0       413.0756      28.7453    0.9973
11.62       0.4832     0.04      1    1850286.377    1.7314       100    359.6876    0    84.7517    0       413.6956      28.7472    0.9973
12.06       0.5153     0.04      1    1844832.0312    1.7381       100    0.3412    0    84.6211    0       413.9758      28.7473    0.9973
12.9       0.5802     0.05      1    1836645.6299    1.755       100    355.5597    0    85.0265    0       414.0849      28.745    0.9974
13.5       0.6298     0.05      1    1829201.2939    1.7631       100    348.1127    0    85.5528    0       414.4809      28.7447    0.9974
14.12       0.6837     0.05      1    1821487.915    1.7734       100    343.6052    0    85.7481    0       415.3912      28.7463    0.9974
14.72       0.7386     0.06      1    1814012.8174    1.7819       100    344.0623    0    85.7118    0       416.6038      28.7484    0.9974
15.34       0.7982     0.06      1    1806334.9609    1.7892       100    346.9549    0    85.6582    0       417.9944      28.7496    0.9974
15.96       0.8607     0.07      1    1798628.1738    1.7992       100    349.6469    0    85.7684    0       419.4316      28.7489    0.9974
16.56       0.9241     0.07      1    1791172.8516    1.8063       100    351.5954    0    86.0761    0       420.9427      28.747    0.9974
17.16       0.9903     0.08      1    1783692.3828    1.817       100    353.9822    0    86.5059    0       422.6898      28.7448    0.9973
17.76       1.0593     0.08      1    1776217.7734    1.8276       100    358.4536    0    86.9452    0       424.7142      28.7429    0.9973
18.36       1.1312     0.08      1    1768770.5078    1.8364       100    6.3264    0    87.3057    0       427.0362      28.7412    0.9973
18.96       1.2061     0.09      1    1761292.7246    1.8474       100    18.0541    0    87.5499    0       429.6089      28.7394    0.9973
19.56       1.2838     0.09      1    1753795.8984    1.8566       100    32.9265    0    87.6567    0       432.3649      28.7375    0.9973
20.16       1.3645     0.09      1    1746321.2891    1.8675       100    49.2651    0    87.6058    0       435.3192      28.7356    0.9973
20.76       1.4481     0.09      1    1738824.0967    1.879       100    64.9154    0    87.3754    0       438.4696      28.7342    0.9972
21.36       1.5347     0.09      1    1731340.8203    1.8892       100    77.8757    0    86.966    0       441.8536      28.7335    0.9972
21.96       1.6242     0.09      1    1723841.9189    1.8998       100    87.5234    0    86.4074    0       445.476      28.7336    0.9972
22.56       1.7168     0.09      1    1716339.2334    1.911       100    94.351    0    85.7416    0       449.3233      28.7348    0.9972
23.16       1.8123     0.1      1    1708847.6562    1.9204       100    99.2236    0    85.0045    0       453.3546      28.7371    0.9971
23.76       1.9108     0.1      1    1701390.3809    1.9289       100    102.8242    0    84.2223    0       457.5711      28.741    0.9971
24.36       2.0122     0.1      1    1693955.6885    1.9337       100    105.6202    0    83.4076    0       461.8825      28.7464    0.9971
24.96       2.1164     0.11      1    1686653.9307    1.9298       100    107.8139    0    82.5747    0       466.2753      28.7537    0.997
25.56       2.2233     0.11      1    1679460.4492    1.9222       100    109.5603    0    81.7284    0       470.7958      28.7628    0.997
26.16       2.333     0.12      1    1672329.9561    1.9122       100    110.9548    0    80.8669    0       475.4641      28.774    0.9969
26.76       2.4452     0.14      1    1665241.5771    1.9015       100    112.0888    0    79.9905    0       480.2347      28.7873    0.9969
27.36       2.56     0.15      1    1658237.1826    1.8942       100    113.0241    0    79.1041    0       485.1292      28.8029    0.9968
27.96       2.6773     0.17      1    1651273.8037    1.89       100    113.813    0    78.2081    0       490.1444      28.821    0.9968
28.58       2.8012     0.2      1    1644355.3467    1.8871       100    114.4911    0    77.3042    0       495.6602      28.8433    0.9967
29.24       2.9359     0.23      1    1636754.8828    1.8869       100    115.1157    0    76.3297    0       501.371      28.8691    0.9967
29.88       3.0695     0.26      1    1629428.1006    1.89       100    115.6598    0    75.3242    0       507.0962      28.8969    0.9966
30.52       3.2058     0.29      1    1622129.6387    1.8923       100    116.1082    0    74.3829    0       512.7151      28.9254    0.9965
31.16       3.345     0.33      1    1614895.1416    1.894       100    116.4748    0    73.5329    0       518.3079      28.9552    0.9965
31.78       3.4825     0.38      1    1607707.0312    1.894       100    116.7868    0    72.741    0       523.9092      28.9863    0.9964
